vendedor_chave;empresa_canonica;grupo_economico;fonte_classificacao;vigencia_inicio;vigencia_fim;observacao
VIBRA ENERGIA S A;Vibra Energia;Vibra;Razão social declarada na base Logística 02 da ANP;2022-01-01;;Agrupamento usado apenas para leitura gerencial.
IPIRANGA PRODUTOS DE PETROLEO S A;Ipiranga;Ipiranga;Razão social declarada na base Logística 02 da ANP;2022-01-01;;Agrupamento usado apenas para leitura gerencial.
RAIZEN S A;Raízen;Raízen;Razão social declarada na base Logística 02 da ANP;2022-01-01;;Agrupamento usado apenas para leitura gerencial.
ALE COMBUSTIVEIS S A;Ale Combustíveis;Ale;Razão social declarada na base Logística 02 da ANP;2022-01-01;;Agrupamento usado apenas para leitura gerencial.
